ObjectID,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
413538,Sweet Street,Truck,3358000,BUCKINGHAM WAY: 19TH AVE to WINSTON DR (1 - 399),3451 19TH AVE,7296005,7296,005,12MFF-0116,REQUESTED,2 Multiple Trucks: Dessert & Fair Style Food - Pies: cakes: pudding: ice cream: fudge: shaved ice: cupcakes: custard: milkshakes: frozen yogurt: smoothies: brownies: cinnamon buns: dipped fruit and cookies: kettle corn: funnel cake: deep fried oreos: mini donuts: candy apples and dessert beverages: hot chocolate: cider.,5990203.655,2092959.854,37.726305451961,-122.476085683351,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=12MFF-0116&ExportPDF=1&Filename=12MFF-0116_schedule.pdf,,,Dec 31 2012 11:33AM,0,03/15/2013 12:00:00 AM,[37.7263054657938,-122.476085683341]
427354,Mang Hang Catering,Truck,3376000,BURKE AVE: END to 03RD ST (1500 - 1599),1570 BURKE AVE,5203066,5203,066,13MFF-0039,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,6016479.944,2099135.868,37.7447521916929,-122.385679247374,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0039&ExportPDF=1&Filename=13MFF-0039_schedule.pdf,,,Mar 12 2013 10:39AM,1,03/15/2014 12:00:00 AM,[37.7447522055078,-122.385679247364]
427910,Quan Catering,Truck,3376000,BURKE AVE: END to 03RD ST (1500 - 1599),1575 BURKE AVE,5203043,5203,043,13MFF-0071,APPROVED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6016176.048,2098933.04,37.7441784473757,-122.386715929759,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0071&ExportPDF=1&Filename=13MFF-0071_schedule.pdf,,03/29/2013 09:33:44 AM,Mar 15 2013 10:16AM,1,03/15/2014 12:00:00 AM,[37.7441784611912,-122.386715929749]
427914,Park's Catering,Truck,3376000,BURKE AVE: END to 03RD ST (1500 - 1599),1570 BURKE AVE,5203066,5203,066,13MFF-0072,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6016479.944,2099135.868,37.7447521916929,-122.385679247374,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0072&ExportPDF=1&Filename=13MFF-0072_schedule.pdf,,04/04/2013 08:44:08 AM,Mar 15 2013 10:24AM,1,03/15/2014 12:00:00 AM,[37.7447522055078,-122.385679247364]
427921,Park's Catering,Truck,3376000,BURKE AVE: END to 03RD ST (1500 - 1599),1555 BURKE AVE,5203067,5203,067,13MFF-0072,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6016389.778,2098759.392,37.7437134761507,-122.385964789191,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0072&ExportPDF=1&Filename=13MFF-0072_schedule.pdf,,04/04/2013 08:44:08 AM,Mar 15 2013 10:24AM,1,03/15/2014 12:00:00 AM,[37.7437134899667,-122.385964789181]
427933,Park's Catering,Truck,3376000,BURKE AVE: END to 03RD ST (1500 - 1599),1575 BURKE AVE,5203043,5203,043,13MFF-0072,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6016176.048,2098933.04,37.7441784473757,-122.386715929759,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0072&ExportPDF=1&Filename=13MFF-0072_schedule.pdf,,04/04/2013 08:44:08 AM,Mar 15 2013 10:24AM,1,03/15/2014 12:00:00 AM,[37.7441784611912,-122.386715929749]
437198,Natan's Catering,Truck,3376000,BURKE AVE: END to 03RD ST (1500 - 1599),1580 BURKE AVE,5203066,5203,066,13MFF-0102,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,6016479.944,2099135.868,37.7447521916929,-122.385679247374,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,[37.7447522055078,-122.385679247364]
427457,Curry Up Now,Truck,3422000,BUSH ST: TREASURY PL to PETRARCH PL (220 - 251),225 BUSH ST,0289001,0289,001,13MFF-0041,APPROVED,Chicken Tiki Masala Burritos: Paneer Tiki Masala Burritos: Samosas: Mango Lassi,6012345.54,2116003.915,37.7908384194517,-122.401160370299,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0041&ExportPDF=1&Filename=13MFF-0041_schedule.pdf,,03/13/2013 09:29:32 AM,Mar 12 2013 11:35AM,1,03/15/2014 12:00:00 AM,[37.790838433222,-122.401160370289]
427549,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",Push Cart,30049000,CALIFORNIA ST: DRUMM ST intersection,5 THE EMBARCADERO,0234 017,0234,017,13MFF-0049,APPROVED,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.,6013916.72,2117244.027,37.7943310032468,-122.395811053023,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0049&ExportPDF=1&Filename=13MFF-0049_schedule.pdf,,05/02/2013 10:47:08 AM,Mar 13 2013 11:06AM,1,03/15/2014 12:00:00 AM,[37.7943310170137,-122.395811053013]
427896,Quan Catering,Truck,3524000,CALIFORNIA ST: DRUMM ST to DAVIS ST (1 - 99),50 CALIFORNIA ST,0235022,0235,022,13MFF-0071,APPROVED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6013470.754,2117151.885,37.7940531837329,-122.397347693326,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0071&ExportPDF=1&Filename=13MFF-0071_schedule.pdf,,03/29/2013 09:33:44 AM,Mar 15 2013 10:16AM,1,03/15/2014 12:00:00 AM,[37.7940531975001,-122.397347693316]
321349,Nom Nom Sandwiches,Truck,3525000,CALIFORNIA ST: DAVIS ST to FRONT ST (100 - 199),101 CALIFORNIA ST,0263011,0263,011,11MFF-0069,INACTIVE,Vietnamese Sandwiches,6013245.668,2116754.292,37.7929489528347,-122.398098613167,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=11MFF-0069&ExportPDF=1&Filename=11MFF-0069_schedule.pdf,,,Apr  5 2011  4:44PM,0,03/15/2013 12:00:00 AM,[37.7929489666029,-122.398098613157]
337110,"Expresso Subito, LLC.",Truck,3525000,CALIFORNIA ST: DAVIS ST to FRONT ST (100 - 199),150 CALIFORNIA ST,0236019,0236,019,11MFF-0167,APPROVED,Espresso Drinks,6013145.603,2117020.157,37.7936733815047,-122.398463509486,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=11MFF-0167&ExportPDF=1&Filename=11MFF-0167_schedule.pdf,,03/27/2013 10:01:59 AM,Sep 12 2011 10:53AM,0,03/15/2014 12:00:00 AM,[37.7936733952722,-122.398463509476]
427844,Kara's Cupcakes,Truck,3525000,CALIFORNIA ST: DAVIS ST to FRONT ST (100 - 199),100 CALIFORNIA ST,0236017,0236,017,13MFF-0064,APPROVED,Cupcakes,6013263.641,2117118.161,37.7939490523224,-122.398061963646,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0064&ExportPDF=1&Filename=13MFF-0064_schedule.pdf,,03/14/2013 04:30:20 PM,Mar 14 2013  2:41PM,0,03/15/2014 12:00:00 AM,[37.7939490660896,-122.398061963636]
426235,"The Sandwich Stand, LLC.",Push Cart,24685000,CALIFORNIA ST: SANSOME ST intersection,351 CALIFORNIA ST,0261010A,0261,010A,13MFF-0031,APPROVED,Vietnamese sandwiches: spring rolls: bottle water: & can soda.,6012479.849,2116741.356,37.7928707497415,-122.400747494077,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0031&ExportPDF=1&Filename=13MFF-0031_schedule.pdf,,05/14/2013 02:24:58 PM,Mar  7 2013 11:13AM,0,03/15/2014 12:00:00 AM,[37.7928707635098,-122.400747494067]
425969,"VK Industries, Inc.",Truck,3528000,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),400 CALIFORNIA ST,0238003,0238,003,13MFF-0023,APPROVED,Indian Street Food,,,,,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0023&ExportPDF=1&Filename=13MFF-0023_schedule.pdf,,03/13/2013 04:34:39 PM,Mar  5 2013 10:31AM,0,03/15/2014 12:00:00 AM,
427859,"Cupkates Bakery, LLC",Truck,3528000,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),430 CALIFORNIA ST,0239029,0239,029,13MFF-0068,REQUESTED,Cupcakes,6012181.836,2116889.979,37.7932622069231,-122.401789091363,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0068&ExportPDF=1&Filename=13MFF-0068_schedule.pdf,,,Mar 14 2013  3:34PM,0,03/15/2013 12:00:00 AM,[37.793262220691,-122.401789091353]
364615,The Chai Cart,Push Cart,3529000,CALIFORNIA ST: LEIDESDORFF ST to MONTGOMERY ST (449 - 499),400 MONTGOMERY ST,0239009,0239,009,12MFF-0084,REQUESTED,Hot Indian Chai (Tea) & Prepackaged Indian Snacks.,6011956.214,2116853.2,37.7931486269835,-122.402567175578,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=12MFF-0084&ExportPDF=1&Filename=12MFF-0084_schedule.pdf,,,Apr  4 2012 12:54PM,0,,[37.7931486407515,-122.402567175568]
426334,Sanguchon,Truck,3529000,CALIFORNIA ST: LEIDESDORFF ST to MONTGOMERY ST (449 - 499),475 CALIFORNIA ST,0260010,0260,010,13MFF-0034,APPROVED,Peruvian food,6012002.812,2116560.078,37.792346385148,-122.402385322794,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0034&ExportPDF=1&Filename=13MFF-0034_schedule.pdf,,05/01/2013 09:47:37 AM,Mar  8 2013 12:27PM,0,03/15/2014 12:00:00 AM,[37.7923463989168,-122.402385322784]
381180,Fish Six Restaurant Corp. dba. The Melt,Truck,3571000,CALIFORNIA ST: PARKER AVE to MAPLE ST (3650 - 3713),3698 CALIFORNIA ST,1017028,1017,028,12MFF-0108,REQUESTED,American Fare: Sandwiches: Soup: Desserts: Lemonade: Ice Tea: Various Beverages,5996854.914,2114835.112,37.7867528398057,-122.45467244289,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=12MFF-0108&ExportPDF=1&Filename=12MFF-0108_schedule.pdf,,,Jul 18 2012  9:58AM,0,03/15/2012 12:00:00 AM,[37.7867528535799,-122.45467244288]
427889,San Pancho's Tacos,Truck,3670000,CAPITOL AVE: DE MONTFORT AVE to OCEAN AVE (1200 - 1299),1271 CAPITOL AVE,6935001,6935,001,13MFF-0070,APPROVED,Tacos: Burritos: Quesadillas: Tortas: Nachos: Hot Dogs:Soda: Water: Fruit Drinks,5995019.526,2092127.388,37.7242977785276,-122.459377309548,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0070&ExportPDF=1&Filename=13MFF-0070_schedule.pdf,,03/18/2013 02:45:51 PM,Mar 15 2013  9:38AM,1,03/15/2014 12:00:00 AM,[37.7242977923624,-122.459377309538]
360524,Fisherman Fred's Catering,Truck,3692201,CARGO WAY: JENNINGS ST to MENDELL ST (100 - 398) -- NORTH --,Assessors Block 4502a/Lot002,4502a002,4502a,002,12MFF-0067,EXPIRED,Cold Truck: Pre-packaged sandwiches: salads: hot dogs: burgers: beverages,6018751.714,2098754.754,37.7438311721327,-122.377797368962,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=12MFF-0067&ExportPDF=1&Filename=12MFF-0067_schedule.pdf,,03/14/2012 12:50:48 PM,Mar 14 2012 12:46PM,1,03/15/2013 12:00:00 AM,[37.7438311859485,-122.377797368952]
434605,May Sun Kitchen,Truck,3736000,CARROLL AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1420 CARROLL AVE,4879023,4879,023,13MFF-0100,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6015058.106,2091452.65,37.7235768564887,-122.390059101399,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0100&ExportPDF=1&Filename=13MFF-0100_schedule.pdf,,04/08/2013 09:08:58 AM,Apr  5 2013  8:29AM,1,03/15/2014 12:00:00 AM,[37.7235768703242,-122.39005910139]
453012,Taco's Santana,Truck,3742000,CARROLL AVE: QUINT ST to BAY SHORE BLVD \ THORNTON AVE (2100 - 2199),2101 CARROLL AVE,5436012,5436,012,13MFF-0112,REQUESTED,Tacos: Burritos : Tortas: Quesadillas & Beverages,6011371.493,2093947.369,37.7302216813049,-122.402978526686,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0112&ExportPDF=1&Filename=13MFF-0112_schedule.pdf,,,Jun  5 2013 11:18AM,1,03/15/2014 12:00:00 AM,[37.7302216951339,-122.402978526676]
437208,Natan's Catering,Truck,2468000,CESAR CHAVEZ ST: 03RD ST to TENNESSEE ST (1000 - 1099),Assessors Block 4315/Lot03008,431503008,4315,03008,13MFF-0102,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,,,,,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0102&ExportPDF=1&Filename=13MFF-0102_schedule.pdf,,04/12/2013 02:43:48 PM,Apr 12 2013  2:33PM,1,03/15/2014 12:00:00 AM,
427905,Quan Catering,Truck,2471000,CESAR CHAVEZ ST: INDIANA ST to IOWA ST (1300 - 1399),1301 CESAR CHAVEZ ST,4352007,4352,007,13MFF-0071,APPROVED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6014982.07,2100806.303,37.7492558603958,-122.39097537863,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0071&ExportPDF=1&Filename=13MFF-0071_schedule.pdf,,03/29/2013 09:33:44 AM,Mar 15 2013 10:16AM,1,03/15/2014 12:00:00 AM,[37.7492558742064,-122.39097537862]
436011,"Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's",Truck,2471000,CESAR CHAVEZ ST: INDIANA ST to IOWA ST (1300 - 1399),1301 CESAR CHAVEZ ST,4352007,4352,007,13MFF-0101,REQUESTED,Tacos: Burritos: Tortas: Quesadillas: Sodas: Chips: Candy,6014982.07,2100806.303,37.7492558603958,-122.39097537863,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0101&ExportPDF=1&Filename=13MFF-0101_schedule.pdf,,,Apr  9 2013  1:29PM,1,03/15/2014 12:00:00 AM,[37.7492558742064,-122.39097537862]
427899,Quan Catering,Truck,2476000,CESAR CHAVEZ ST: CONNECTICUT ST to EVANS AVE (1900 - 2099),2190 CESAR CHAVEZ ST,4324002,4324,002,13MFF-0071,APPROVED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6013011.36,2101203.484,37.7502368847791,-122.397818031719,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0071&ExportPDF=1&Filename=13MFF-0071_schedule.pdf,,03/29/2013 09:33:44 AM,Mar 15 2013 10:16AM,1,03/15/2014 12:00:00 AM,[37.7502368985887,-122.397818031709]
378907,Bob's Too Catering,Truck,2477000,CESAR CHAVEZ ST: EVANS AVE to KANSAS ST (2100 - 2550),1950 CESAR CHAVEZ ST,4327A013,4327A,013,12MFF-0103,EXPIRED,Cold Truck: sandwiches: snacks: pastries: candy: cold drinks: and hot drinks,,,,,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=12MFF-0103&ExportPDF=1&Filename=12MFF-0103_schedule.pdf,,06/25/2012 12:47:30 PM,Jun 25 2012 12:41PM,1,03/15/2013 12:00:00 AM,
427913,Park's Catering,Truck,2477000,CESAR CHAVEZ ST: EVANS AVE to KANSAS ST (2100 - 2550),2323 CESAR CHAVEZ ST,4342001,4342,001,13MFF-0072,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,6012210.337,2100696.938,37.7488013777145,-122.400552458785,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0072&ExportPDF=1&Filename=13MFF-0072_schedule.pdf,,04/04/2013 08:44:08 AM,Mar 15 2013 10:24AM,1,03/15/2014 12:00:00 AM,[37.7488013915255,-122.400552458775]
428088,May Catering,Truck,2477000,CESAR CHAVEZ ST: EVANS AVE to KANSAS ST (2100 - 2550),2400 CESAR CHAVEZ ST,4328A005,4328A,005,13MFF-0081,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6012051.606,2101106.273,37.749916469391,-122.401130112212,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0081&ExportPDF=1&Filename=13MFF-0081_schedule.pdf,,03/15/2013 03:49:09 PM,Mar 15 2013  3:46PM,1,03/15/2014 12:00:00 AM,[37.749916483201,-122.401130112202]
428089,May Catering,Truck,2477000,CESAR CHAVEZ ST: EVANS AVE to KANSAS ST (2100 - 2550),2300 CESAR CHAVEZ ST,4328A007,4328A,007,13MFF-0081,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6012256.828,2101112.599,37.7499452857571,-122.400420884438,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0081&ExportPDF=1&Filename=13MFF-0081_schedule.pdf,,03/15/2013 03:49:09 PM,Mar 15 2013  3:46PM,1,03/15/2014 12:00:00 AM,[37.749945299567,-122.400420884428]
428209,Mike's Catering,Truck,2477000,CESAR CHAVEZ ST: EVANS AVE to KANSAS ST (2100 - 2550),2323 CESAR CHAVEZ ST,4342001,4342,001,13MFF-0083,APPROVED,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,6012210.337,2100696.938,37.7488013777145,-122.400552458785,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0083&ExportPDF=1&Filename=13MFF-0083_schedule.pdf,,04/09/2013 11:43:59 AM,Mar 18 2013  8:25AM,1,03/15/2014 12:00:00 AM,[37.7488013915255,-122.400552458775]
428212,Mike's Catering,Truck,2477000,CESAR CHAVEZ ST: EVANS AVE to KANSAS ST (2100 - 2550),2200 CESAR CHAVEZ ST,4327A007,4327A,007,13MFF-0083,APPROVED,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,6012474.048,2101145.897,37.7500488259704,-122.399672059709,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0083&ExportPDF=1&Filename=13MFF-0083_schedule.pdf,,04/09/2013 11:43:59 AM,Mar 18 2013  8:25AM,1,03/15/2014 12:00:00 AM,[37.7500488397802,-122.399672059699]
434625,May Sun Kitchen,Truck,2477000,CESAR CHAVEZ ST: EVANS AVE to KANSAS ST (2100 - 2550),2150 CESAR CHAVEZ ST,4324002,4324,002,13MFF-0100,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,6013011.36,2101203.484,37.7502368847791,-122.397818031719,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0100&ExportPDF=1&Filename=13MFF-0100_schedule.pdf,,04/08/2013 09:08:58 AM,Apr  5 2013  8:29AM,1,03/15/2014 12:00:00 AM,[37.7502368985887,-122.397818031709]
428066,May Catering,Truck,2478101,CESAR CHAVEZ ST: KANSAS ST to BAY SHORE BLVD \ VERMONT ST (2501 - 2627) -- SOUTH --,2501 CESAR CHAVEZ ST,4339001,4339,001,13MFF-0081,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6011674.927,2100772.595,37.7489792411554,-122.402409234561,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0081&ExportPDF=1&Filename=13MFF-0081_schedule.pdf,,03/15/2013 03:49:09 PM,Mar 15 2013  3:46PM,1,03/15/2014 12:00:00 AM,[37.7489792549662,-122.402409234551]
427350,Mang Hang Catering,Truck,2488201,CESAR CHAVEZ ST: SOUTH VAN NESS AVE to CAPP ST \ MISSION ST (3300 - 3398) -- NORTH --,3300 CESAR CHAVEZ ST,6571011,6571,011,13MFF-0039,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,6007693.813,2100697.425,37.7485497942591,-122.416170662008,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0039&ExportPDF=1&Filename=13MFF-0039_schedule.pdf,,,Mar 12 2013 10:39AM,1,03/15/2014 12:00:00 AM,[37.7485498080704,-122.416170661998]
428087,May Catering,Truck,3887000,CHANNEL ST: 03RD ST to 04TH ST (0 - 0),Assessors Block 8711/Lot023,8711023,8711,023,13MFF-0081,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6015253.35,2109839.763,37.7740748418105,-122.390668459203,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0081&ExportPDF=1&Filename=13MFF-0081_schedule.pdf,,03/15/2013 03:49:09 PM,Mar 15 2013  3:46PM,1,03/15/2014 12:00:00 AM,[37.774074855597,-122.390668459193]
428086,May Catering,Truck,3889000,CHANNEL ST: END to END (0 - 0),Assessors Block 3810/Lot008,3810008,3810,008,13MFF-0081,APPROVED,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,6013705.031,2109129.688,37.772039113525,-122.395974631586,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0081&ExportPDF=1&Filename=13MFF-0081_schedule.pdf,,03/15/2013 03:49:09 PM,Mar 15 2013  3:46PM,1,03/15/2014 12:00:00 AM,[37.7720391273135,-122.395974631576]
428213,Mike's Catering,Truck,15024000,CHINA BASIN ST: TERRY A FRANCOIS BLVD to 03RD ST (300 - 499),435 CHINA BASIN ST,8720001,8720,001,13MFF-0083,APPROVED,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,,,,,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0083&ExportPDF=1&Filename=13MFF-0083_schedule.pdf,,04/09/2013 11:43:59 AM,Mar 18 2013  8:25AM,1,03/15/2014 12:00:00 AM,
428217,Mike's Catering,Truck,15024000,CHINA BASIN ST: TERRY A FRANCOIS BLVD to 03RD ST (300 - 499),Assessors Block 8720/Lot009,8720009,8720,009,13MFF-0083,APPROVED,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,6016084.593,2109122.779,37.7721522432444,-122.387742984116,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0083&ExportPDF=1&Filename=13MFF-0083_schedule.pdf,,04/09/2013 11:43:59 AM,Mar 18 2013  8:25AM,1,03/15/2014 12:00:00 AM,[37.7721522570328,-122.387742984106]
450892,Two G's Catering,Truck,15024000,CHINA BASIN ST: TERRY A FRANCOIS BLVD to 03RD ST (300 - 499),435 CHINA BASIN ST,8720001,8720,001,13MFF-0111,APPROVED,Cold Truck: Hot & Cold Sandwiches: Bagels: Burritos: Soups: Hot Dogs: Tacos: Pork Buns: BBQ Meat: Fruit: Various Beverages: Pasties: Pre-Packaged Snacks: Candy: Salads: Muffins: Scones: Brownies: Croissants: Energy Bars: Noodle Bowls,,,,,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0111&ExportPDF=1&Filename=13MFF-0111_schedule.pdf,,05/30/2013 10:06:39 AM,May 30 2013 10:00AM,1,03/15/2014 12:00:00 AM,
